timestamp;name;ocel;filename;num_rows;num_cols;description;target_otypes;rule;graph_mode;remove_otype_loops;name_suffix;hu_otypes;resource_otypes;init_time;process_time;num_components;og_nodes;og_edges;og_components;user
20240715-183132;ev_data_hu_hu;containerLogistics;20240715-183132-containerLogistics-ev_data_hu_hu.csv;35351;9;;;;;;;;;;;;;;;
20240715-183134;ev_data_hu_hu;containerLogistics;20240715-183134-containerLogistics-ev_data_hu_hu.csv;35351;9;;;;;;;;;;;;;;;
20240715-183137;ev_data_hu_hu;containerLogistics;20240715-183137-containerLogistics-ev_data_hu_hu.csv;35351;9;;;;;;;;;;;;;;;
20240715-183221;ev_data_hu_hu;containerLogistics;20240715-183221-containerLogistics-ev_data_hu_hu.csv;35351;9;;;;;;;;;;;;;;;
20240716-221704;ev_datahu_hu;containerLogistics;20240716-221704-containerLogistics-ev_datahu_hu.csv;35351;9;Number of resources/HUs/THUs per event. Fraction of THUs that are E2O-related / reachable in 1/2/3/4 steps on HU-HU graph.;Container;;;;;;;;;;;;;
20240716-221705;ev_stats_hu_hu;containerLogistics;20240716-221705-containerLogistics-ev_stats_hu_hu.csv;5;8;Agg (mmmm + rel non-zero) number of resources/HUs/THUs per event. Fraction of THUs that are E2O-related / reachable in 1/2/3/4 steps on HU-HU graph. (nonzero, f_thus_2): Fraction of events that reach a THU at <= 2 steps);Container;;;;;;;;;;;;;
20240716-234039;ev_data_hu_hu;containerLogistics;20240716-234039-containerLogistics-ev_data_hu_hu.csv;35351;9;Number of resources/HUs/THUs per event. Fraction of THUs that are E2O-related / reachable in 1/2/3/4 steps on HU-HU graph.;Container;;;;;;;;;;;;;
20240716-234040;ev_stats_hu_hu;containerLogistics;20240716-234040-containerLogistics-ev_stats_hu_hu.csv;5;8;Agg (mmmm + rel non-zero) number of resources/HUs/THUs per event. Fraction of THUs that are E2O-related / reachable in 1/2/3/4 steps on HU-HU graph. (nonzero, f_thus_2): Fraction of events that reach a THU at <= 2 steps);Container;;;;;;;;;;;;;
20240716-235129;ev_data_hu_hu;orderManagementWithDistances;20240716-235129-orderManagementWithDistances-ev_data_hu_hu.csv;21008;9;Number of resources/HUs/THUs per event. Fraction of THUs that are E2O-related / reachable in 1/2/3/4 steps on HU-HU graph.;orders;;;;;;;;;;;;;
20240716-235129;ev_stats_hu_hu;orderManagementWithDistances;20240716-235129-orderManagementWithDistances-ev_stats_hu_hu.csv;5;8;Agg (mmmm + rel non-zero) number of resources/HUs/THUs per event. Fraction of THUs that are E2O-related / reachable in 1/2/3/4 steps on HU-HU graph. (nonzero, f_thus_2): Fraction of events that reach a THU at <= 2 steps);orders;;;;;;;;;;;;;
20240717-001823;ev_data_hu_hu;p2p;20240717-001823-p2p-ev_data_hu_hu.csv;14671;9;Number of resources/HUs/THUs per event. Fraction of THUs that are E2O-related / reachable in 1/2/3/4 steps on HU-HU graph.;purch. req.;;;;;;;;;;;;;
20240717-001823;ev_stats_hu_hu;p2p;20240717-001823-p2p-ev_stats_hu_hu.csv;5;8;Agg (mmmm + rel non-zero) number of resources/HUs/THUs per event. Fraction of THUs that are E2O-related / reachable in 1/2/3/4 steps on HU-HU graph. (nonzero, f_thus_2): Fraction of events that reach a THU at <= 2 steps);purch. req.;;;;;;;;;;;;;
20240717-003034;ev_data_hu_hu;hinge;20240717-003034-hinge-ev_data_hu_hu.csv;38528;9;Number of resources/HUs/THUs per event. Fraction of THUs that are E2O-related / reachable in 1/2/3/4 steps on HU-HU graph.;Hinge;;;;;;;;;;;;;
20240717-003034;ev_stats_hu_hu;hinge;20240717-003034-hinge-ev_stats_hu_hu.csv;5;8;Agg (mmmm + rel non-zero) number of resources/HUs/THUs per event. Fraction of THUs that are E2O-related / reachable in 1/2/3/4 steps on HU-HU graph. (nonzero, f_thus_2): Fraction of events that reach a THU at <= 2 steps);Hinge;;;;;;;;;;;;;
20240717-160559;ev_data_hu_hu;containerLogistics;20240717-160559-containerLogistics-ev_data_hu_hu.csv;35351;9;Number of resources/HUs/THUs per event. Fraction of THUs that are E2O-related / reachable in 1/2/3/4 steps on HU-HU graph.;Container;;;;;;;;;;;;;
20240717-160600;ev_stats_hu_hu;containerLogistics;20240717-160600-containerLogistics-ev_stats_hu_hu.csv;5;8;Agg (mmmm + rel non-zero) number of resources/HUs/THUs per event. Fraction of THUs that are E2O-related / reachable in 1/2/3/4 steps on HU-HU graph. (nonzero, f_thus_2): Fraction of events that reach a THU at <= 2 steps);Container;;;;;;;;;;;;;
20240731-202922;target_distance_runtime;orderManagementWithDistances;20240731-202922-orderManagementWithDistances-target_distance_runtime.csv;18;10;;;;;;;;;;;;;;;
20240801-000221;target_distance_runtime;orderManagementWithDistances;20240801-000221-orderManagementWithDistances-target_distance_runtime.csv;27;10;;;;;;;;;;;;;;;
20240801-001150;target_distance_runtime;orderManagementWithDistances;20240801-001150-orderManagementWithDistances-target_distance_runtime.csv;27;9;;;;;;;;;;;;;;;
20240801-120152;target_distance_runtime;orderManagementWithDistances;20240801-120152-orderManagementWithDistances-target_distance_runtime.csv;24;10;;;;;;;;;;;;;;;
20240801-120200;target_distance_runtime;orderManagementWithDistances;20240801-120200-orderManagementWithDistances-target_distance_runtime.csv;24;10;;;;;;;;;;;;;;;
20240801-123946;target_distance_runtime;orderManagementWithDistances;20240801-123946-orderManagementWithDistances-target_distance_runtime.csv;27;10;;;;;;;;;;;;;;;
20240815-134010;alloc_ct_event_target_paths;orderManagementWithDistances;20240815-134010-orderManagementWithDistances-alloc_ct_event_target_paths.csv;60935;3;;items;ClosestTargets;Obj-Obj;True;;;;;;;;;;
20240815-134010;alloc_target_emissions;orderManagementWithDistances;20240815-134010-orderManagementWithDistances-alloc_target_emissions.csv;7659;2;;items;ClosestTargets;HU-HU;True;;;;;;;;;;
20240815-134010;alloc_ct_event_target_paths;orderManagementWithDistances;20240815-134010-orderManagementWithDistances-alloc_ct_event_target_paths.csv;60935;3;;items;ClosestTargets;HU-HU;True;;;;;;;;;;
20240815-134010;alloc_ct_event_target_paths;orderManagementWithDistances;20240815-134010-orderManagementWithDistances-alloc_ct_event_target_paths.csv;8443503;3;;orders;ClosestTargets;Obj-Obj;True;;;;;;;;;;
20240815-134054;alloc_target_emissions;orderManagementWithDistances;20240815-134054-orderManagementWithDistances-alloc_target_emissions.csv;2000;2;;orders;ClosestTargets;HU-HU;True;;;;;;;;;;
20240815-134054;alloc_ct_event_target_paths;orderManagementWithDistances;20240815-134054-orderManagementWithDistances-alloc_ct_event_target_paths.csv;31222;3;;orders;ClosestTargets;HU-HU;True;;;;;;;;;;
20240815-134055;alloc_ct_event_target_paths;orderManagementWithDistances;20240815-134055-orderManagementWithDistances-alloc_ct_event_target_paths.csv;10338317;3;;packages;ClosestTargets;Obj-Obj;True;;;;;;;;;;
20240815-134204;alloc_ct_event_target_paths;orderManagementWithDistances;20240815-134204-orderManagementWithDistances-alloc_ct_event_target_paths.csv;259120;3;;customers;ClosestTargets;Obj-Obj;True;;;;;;;;;;
20240815-134204;alloc_target_emissions;orderManagementWithDistances;20240815-134204-orderManagementWithDistances-alloc_target_emissions.csv;1128;2;;packages;ClosestTargets;HU-HU;True;;;;;;;;;;
20240815-134204;alloc_ct_event_target_paths;orderManagementWithDistances;20240815-134204-orderManagementWithDistances-alloc_ct_event_target_paths.csv;28475;3;;packages;ClosestTargets;HU-HU;True;;;;;;;;;;
20240815-134205;alloc_target_emissions;orderManagementWithDistances;20240815-134205-orderManagementWithDistances-alloc_target_emissions.csv;15;2;;customers;ClosestTargets;HU-HU;True;;;;;;;;;;
